circuit_id,circuit_type,scheme,poly_modulus_degree,coeff_mod_bits,scale_bits,base,multiplicative_depth,operations_count,rotation_count,vector_size,cpu_cores,cpu_freq_ghz,memory_gb,memory_bandwidth_gb_s,cache_mb,has_gpu,sum_coeff_bits,num_primes,runtime_s,memory_mb,final_noise_budget,success,security_bits
c1,dot,CKKS,16384,"[60, 20, 20, 50, 50, 40]",20,2,4,250,8,4096,8,3.2,16,25.0,16,0,240,6,0.04097747802734375,6.0,61.32308250728835,1,192
c1,dot,CKKS,16384,"[60, 20, 20, 50, 50, 40]",20,2,4,250,8,4096,8,3.2,16,25.0,16,0,240,6,0.04100799560546875,6.0,62.430371326598895,1,192
c1,dot,CKKS,16384,"[60, 20, 20, 50, 50, 40]",20,3,4,250,8,4096,8,3.2,16,25.0,16,0,240,6,0.04099416732788086,6.0,61.58639413366144,1,192
c1,dot,CKKS,16384,"[60, 20, 20, 50, 50, 40]",20,3,4,250,8,4096,8,3.2,16,25.0,16,0,240,6,0.040997982025146484,6.0,62.01684949247611,1,192
c1,dot,CKKS,16384,"[60, 20, 20, 50, 50, 40]",20,3,4,250,8,4096,8,3.2,16,25.0,16,0,240,6,0.04100203514099121,6.0,61.144945538572685,1,192
c1,dot,CKKS,16384,"[60, 20, 20, 50, 50, 40]",20,5,4,250,8,4096,8,3.2,16,25.0,16,0,240,6,0.04100155830383301,6.0,62.602818993577976,1,192
c1,dot,CKKS,16384,"[60, 20, 20, 50, 50, 40]",20,5,4,250,8,4096,8,3.2,16,25.0,16,0,240,6,0.04199934005737305,6.0,61.207041715741354,1,192
c1,dot,CKKS,16384,"[60, 20, 20, 50, 50, 40]",20,5,4,250,8,4096,8,3.2,16,25.0,16,0,240,6,0.04099893569946289,6.0,62.52462533508597,1,192
c1,dot,CKKS,16384,"[60, 20, 20, 50, 50, 40]",30,2,4,250,8,4096,8,3.2,16,25.0,16,0,240,6,0.041886091232299805,6.0,62.67370981019991,1,192
c1,dot,CKKS,16384,"[60, 20, 20, 50, 50, 40]",30,2,4,250,8,4096,8,3.2,16,25.0,16,0,240,6,0.04123234748840332,6.0,61.24474038339818,1,192
c1,dot,CKKS,16384,"[60, 20, 20, 50, 50, 40]",30,2,4,250,8,4096,8,3.2,16,25.0,16,0,240,6,0.04177594184875488,6.0,61.607429179656464,1,192
